vendor_code,name,description,brand,series,color,package_type,package_qty,minibox_qty,purpose,for_entry_doors,for_interior_doors,mounting_type,backset,center_distance,bolt_type,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material,lock_cylinder_hole,square_hole_size,plate_width,plate_height,plate_thickness,body_width,body_height,body_depth
00011372,Замок врезной Apecs 6000-W,"Описание серии Врезные замки для межкомнатных дверей. 
Рекомендации по использованию с другими товарами (приобретаются отдельно):  
- ручки дверные Avers H-0661; 
 - цилиндровый механизм или фиксатор Apecs, Avers WC-0608; 
- накладки пустые, сувальдные или цилиндровые Apecs, Avers серий 06. 
- ответная планка  Apecs BP-0045 или ответная планка Apecs BP-0068 (для дверей ""с четвертью"" - с притвором).",Apecs,6000,,pack,45,,interior doors with notch,no,yes,screws,45.0,72.0,classic/rectangular,,15.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016277,Замок врезной Apecs 95/60-G,"Описание серии Врезные замки без ручек под евроцилиндр для межкомнатных деревянных дверей, технических дверей, дверей подсобных помещений. 
Замки имеют сертификат соответствия 2 классу по ГОСТ 5089-2011. 
Ответная планка: в комплекте. 
Рекомендуемая толщина двери: 35-50 мм.",Apecs,95/60,G,box,28,,general,yes,yes,faceplate,40.0,0.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00011368,Замок врезной Apecs 6000-G,"Описание серии Врезные замки для межкомнатных дверей. 
Рекомендации по использованию с другими товарами (приобретаются отдельно):  
- ручки дверные Avers H-0661; 
 - цилиндровый механизм или фиксатор Apecs, Avers WC-0608; 
- накладки пустые, сувальдные или цилиндровые Apecs, Avers серий 06. 
- ответная планка  Apecs BP-0045 или ответная планка Apecs BP-0068 (для дверей ""с четвертью"" - с притвором).",Apecs,6000,G,pack,45,,interior doors with notch,no,yes,screws,45.0,72.0,classic/rectangular,,15.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017165,Замок врезной Apecs 2200/60-CR,"Описание серии Замки Apecs серии 22 -  универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 85 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
В замках серии 22 присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,2200/60,CR,box,28,,general,yes,yes,faceplate,45.0,85.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016647,Замок врезной Apecs 7000-45-NI,"Описание серии Врезные замки для дверей из ПВХ профиля. 
Ассортимент представлен моделями с роликовым фиксатором (индекс ""R"")  и моделями под ручку с фалевой защелкой. 
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Замки не комплектуются ответной планкой.  
Удаление ключевого отверстия (Backset): 25, 30, 35, 40 и 45 мм. 
В корпусах с Backset 35, 40, 45 мм имеются отверстия для крепления раздельных ручек стяжными винтами, посадочный размер 38 мм. 
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- механизм секретности  2 класса согласно ГОСТ и выше; 
- 00016666 ручки на планке Apecs HP-92.7005-W; 
- 00016992 ручки дверные Apecs H-0931-W; 
- 00016822 накладки цилиндровые Apecs DP-C-09-W; 
- 00017881 ручки дверные Apecs H-0903-INOX 
- 00017882 накладки цилиндровые Apecs DP-C-09-INOX; 
- 00027547 ответная планка Apecs BP-7000-ZN.",Apecs,7000,NI,pack,30,,PVC profile doors,yes,yes,faceplate,45.0,92.0,classic/rectangular,,20.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017200,Замок врезной Avers 0823/60-AB,"Описание серии Врезные замки Avers серии 08 с ручками на планке и цилиндровым механизмом уменьшенного профиля 29,5 мм для легких деревянных дверей малой проходимости, с межосевым расстоянием 50 мм.  
Материал ручек на планке и цилиндрового механизма: алюминий. 
Рекомендуемая толщина двери: не более 36 мм. 
При необходимости замены цилиндра, рекомендуем приобрести цилиндровый механизм Avers серии LL.",Avers,0823/60,AB,box,24,,general,no,yes,faceplate,40.0,50.0,classic/rectangular,,16.0,0.0,cylindrical,flat key,5,included,30/30,aluminum,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00028072,Замок врезной Avers 1223/60-AB,"Описание серии Замки Avers серии 12 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 40 кг.",Avers,1223/60,AB,box,20,,general,yes,yes,faceplate,40.0,70.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,ZAMAK,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016815,Замок врезной Apecs 1223/60-AC,"Описание серии Замки Apecs серии 12 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 40 кг.",Apecs,1223/60,AC,box,20,,general,yes,yes,faceplate,40.0,70.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017576,Замок врезной Apecs 2227/60-G/GM,"Описание серии Замки Apecs серии 22 -  универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 85 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
В замках серии 22 присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,2227/60,G,box,10,,general,yes,yes,faceplate,45.0,85.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017398,Замок врезной Apecs 1523/60-CR,"Описание серии Замки Apecs серии 15 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,1523/60,CR,box,20,,general,yes,yes,faceplate,45.0,70.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016819,Замок врезной Apecs 1227/60-AB,"Описание серии Замки Apecs серии 12 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 40 кг.",Apecs,1227/60,AB,box,20,,general,yes,yes,faceplate,40.0,70.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016643,Замок врезной Apecs 7000-25-NI,"Описание серии Врезные замки для дверей из ПВХ профиля. 
Ассортимент представлен моделями с роликовым фиксатором (индекс ""R"")  и моделями под ручку с фалевой защелкой. 
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Замки не комплектуются ответной планкой.  
Удаление ключевого отверстия (Backset): 25, 30, 35, 40 и 45 мм. 
В корпусах с Backset 35, 40, 45 мм имеются отверстия для крепления раздельных ручек стяжными винтами, посадочный размер 38 мм. 
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- механизм секретности  2 класса согласно ГОСТ и выше; 
- 00016666 ручки на планке Apecs HP-92.7005-W; 
- 00016992 ручки дверные Apecs H-0931-W; 
- 00016822 накладки цилиндровые Apecs DP-C-09-W; 
- 00017881 ручки дверные Apecs H-0903-INOX 
- 00017882 накладки цилиндровые Apecs DP-C-09-INOX; 
- 00027547 ответная планка Apecs BP-7000-ZN.",Apecs,7000,NI,pack,30,,PVC profile doors,yes,yes,faceplate,25.0,92.0,classic/rectangular,,20.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00002874,Замок врезной Apecs 1226/60-CR,"Описание серии Замки Apecs серии 12 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 40 кг.",Apecs,1226/60,CR,box,16,,general,yes,yes,faceplate,40.0,70.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017577,Замок врезной Apecs 2227/60-NI/NIS,"Описание серии Замки Apecs серии 22 -  универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 85 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
В замках серии 22 присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,2227/60,NI,box,10,,general,yes,yes,faceplate,45.0,85.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00003171,Замок врезной Apecs 1026/60-CR,"Описание серии Замки Apecs серии 10 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 61,5 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
В замках 1023/60 и 1027/60 присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,1026/60,CR,box,16,,general,yes,yes,faceplate,40.0,61.5,cylindrical,3,18.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017400,Замок врезной Apecs 1527/60-NI/NIS,"Описание серии Замки Apecs серии 15 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,1527/60,NI,box,20,,general,yes,yes,faceplate,45.0,70.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00015578,Замок врезной Apecs 1223/60-CR,"Описание серии Замки Apecs серии 12 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 40 кг.",Apecs,1223/60,CR,box,20,,general,yes,yes,faceplate,40.0,70.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016814,Замок врезной Apecs 1223/60-AB,"Описание серии Замки Apecs серии 12 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 40 кг.",Apecs,1223/60,AB,box,20,,general,yes,yes,faceplate,40.0,70.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017628,"Замок врезной Apecs T-52-CR (w/o BP, w/o DP)","Описание серии Надёжные сувальдные и цилиндровые замки Apecs серий T-52, T-52/S8, T-05, T-05-C и T-0523-C для металлических входных дверей. 
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери для замков, укомплектованных ручками на планке T-0523-C: 40 - 60 мм. 
В замках T-05, T-05-C, T-52, T-52/S8 присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы.  
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- для T-05, T-05-C, T-52 и T-0523-C: механизм секретности  3 класса согласно ГОСТ и выше; 
- для T-52, T-05: ручки на планке под  евроцилиндр с межосевым расстоянием 85 мм или ручки дверные раздельные совместно с накладками на цилиндр DP-C; 
- для T-05-C - поворотник для задвижки с квадратом сечения 6 мм, ручки дверные раздельные совместно с накладками на цилиндр DP-C; 
- для T-52/S8 - ручки на планке под сувальдный ключ co шторкой  с межосевым расстоянием 85 мм - HP-85.0423-S или ручки дверные раздельные совместно с накладками сувальдными со шторкой и без шторки.",Apecs,52,CR,box,12,,general,yes,no,faceplate,60.0,85.0,cylindrical,3,24.0,16.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00028087,Замок врезной Avers 2210/60-G,"Описание серии Замки Avers серии 22 -  универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 85 мм. В замках 22 серии присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы. 
Рекомендуемая толщина двери: 
- для замков 2210/60 - 35 - 40 мм; 
- для замков 2223/70 и 2226/70 - 35 - 50 мм. 
Рекомендуемый вес двери: до 50 кг.",Avers,2210/60,G,box,10,,general,yes,yes,faceplate,45.0,85.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,ZAMAK,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00013916,Замок врезной Apecs 1601-CR,"Описание серии Замки Apecs серии 16 - универсальные врезные замки под ручку и евроцилиндр для деревянных и  металлических входных дверей с межосевым расстоянием 55 мм. 
По посадочным размерам замки 16 серии подходят для замены замков ДААЗ, Зенит ЗВ4-3.1 (04,06) и замков Меттем с межосевым расстоянием 55 мм. 
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 40 - 60 мм. 
Рекомендации по использованию с другими товарами: 
- механизм секретности  3 класса согласно ГОСТ и выше.",Apecs,1601,CR,box,12,,general,yes,yes,faceplate,55.0,55.0,classic/rectangular,,20.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00017952,Замок врезной Apecs 7600-25-R-NI,"Описание серии Врезные замки с падающим ригелем для дверей из алюминиевого профиля. 
Замки представлены с роликовым фиксатором (индекс R) и фалевой защелкой. Универсальная фалевая защелка. 
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Замки с фалевой защелкой комплектуются ответной планкой. 
Замки с роликовым фиксатором комплектуются ответной планкой и декоративными накладками на цилиндр. 
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- механизм секретности  2 класса согласно ГОСТ и выше; 
- 00017881 ручки дверные Apecs H-0903-INOX; 
- 00017882 накладки цилиндровые Apecs DP-C-09-INOX; 
- 00027547 ответная планка Apecs BP-7000-ZN.",Apecs,7600,NI,pack,30,,aluminum profile doors,yes,yes,faceplate,25.0,0.0,Падающий,,23.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016950,Замок врезной Apecs 1423-AB,"Описание серии Замки Apecs серии 14 - универсальные врезные замки под ручку и евроцилиндр для деревянных и  металлических входных дверей с межосевым расстоянием 58,5 мм. По посадочным размерам замки 14 серия подходят для замены замков ТНП25-0004 (Барановичи-ШО-25) и их аналогов. 
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 40 - 60 мм. 
Рекомендации по использованию с другими товарами: 
- механизм секретности  3 класса согласно ГОСТ и выше; 
- ответная планка Apecs BP-1425 при установке замка в деревянные двери.",Apecs,1423,AB,box,12,,general,yes,yes,faceplate,55.0,58.5,classic/rectangular,,20.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00006325,Замок врезной Apecs 1000/60-G,"Описание серии Замки Apecs серии 10 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 61,5 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
В замках 1023/60 и 1027/60 присутствует подшипник в узле ручки, обеспечивающий плавность хода и долгий ресурс службы.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,1000/60,G,box,28,,general,yes,yes,faceplate,40.0,61.5,cylindrical,3,18.0,12.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00016946,Замок врезной Apecs 1323/60-AB,"Описание серии Замки Apecs серии 13 - универсальные врезные замки под ручку и евроцилиндр для деревянных и  металлических входных дверей с межосевым расстоянием 80 мм.  
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Apecs,1323/60,AB,box,16,,general,yes,yes,faceplate,40.0,80.0,classic/rectangular,,20.0,0.0,cylindrical,flat key,5,included,30/30,brass,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00032801,Замок врезной противопожарный Avers 2000-ZN-RE (B2B),,Avers,2000,,pack,24,,fireproof,yes,,bolts,65.0,72.0,classic/rectangular,,14.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00025711,Замок врезной Apecs 7300-35-R-NIS,"Описание серии Врезные замки для дверей из алюминиевого профиля. 
Ассортимент представлен моделями с роликовым фиксатором (индекс ""R"")  и моделями под ручку с фалевой защелкой. Универсальная фалевая защелка. Роликовый фиксатор регулируется по вылету от 0 до 8 мм. 
Замки имеют сертификат соответствия согласно ГОСТ 5089-2011. 
Замки с фалевой защелкой комплектуются ответной планкой. 
Замки с роликовым фиксатором комплектуются ответной планкой и декоративными накладками на цилиндр. 
Рекомендации по использованию с другими товарами (приобретаются отдельно): 
- механизм секретности  2 класса согласно ГОСТ и выше; 
-  00017881 ручки дверные Apecs H-0903-INOX; 
- 00017882 накладки цилиндровые Apecs DP-C-09-INOX; 
- 00027547 ответная планка Apecs BP-7000-ZN.",Apecs,7300,NI,pack,30,,aluminum profile doors,yes,yes,faceplate,35.0,0.0,classic/rectangular,,15.0,0.0,cylindrical,,,not included,,,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00028079,Замок врезной Avers 1523/60-CR,"Описание серии Замки Avers серии 15 - универсальные врезные замки под ручку и евроцилиндр для деревянных межкомнатных и входных дверей с межосевым расстоянием 70 мм.  
Рекомендуемая толщина двери: 35 - 40 мм. 
Рекомендуемый вес двери: до 50 кг.",Avers,1523/60,CR,box,20,,general,yes,yes,faceplate,45.0,70.0,cylindrical,3,20.0,12.0,cylindrical,flat key,5,included,30/30,ZAMAK,33x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
